ID 	 Time Worked 	 Time Needed 	 Time Waiting 	 Time Started 	 Time Ended
3		10		10		26		0		36
10		5		5		110		0		120
16		1		1		177		0		187
19		6		6		204		0		214
38		8		8		428		0		438
48		5		5		546		0		556
49		3		3		553		0		563
50		5		5		558		0		568
12		16		16		663		0		683
14		16		16		683		0		703
15		17		17		691		0		711
20		12		12		724		0		744
22		15		15		740		0		760
23		11		11		747		0		767
32		16		16		846		0		866
33		15		15		854		0		874
39		20		20		909		0		929
41		18		18		933		0		953
42		17		17		943		0		963
1		22		22		1002		0		1032
6		27		27		1042		0		1072
17		26		26		1111		0		1141
21		24		24		1131		0		1161
24		23		23		1137		0		1167
30		21		21		1202		0		1232
34		23		23		1217		0		1247
37		23		23		1246		0		1276
44		25		25		1275		0		1305
7		35		35		1344		0		1384
8		36		36		1351		0		1391
13		34		34		1383		0		1423
18		35		35		1389		0		1429
46		34		34		1528		0		1568
2		46		46		1536		0		1586
4		42		42		1544		0		1594
9		42		42		1560		0		1610
25		49		49		1576		0		1626
26		45		45		1587		0		1637
29		46		46		1618		0		1668
31		46		46		1626		0		1676
5		57		57		1696		0		1756
11		60		60		1705		0		1765
27		53		53		1717		0		1777
28		51		51		1722		0		1782
35		55		55		1725		0		1785
36		53		53		1732		0		1792
40		56		56		1737		0		1797
43		58		58		1745		0		1805
45		54		54		1755		0		1815
47		54		54		1761		0		1821
