ID 	 Time Worked 	 Time Needed 	 Time Waiting 	 Time Started 	 Time Ended
16		1		1		47		0		48
49		3		3		438		0		441
10		5		5		613		0		618
48		5		5		724		0		729
50		5		5		727		0		732
19		6		6		777		0		783
38		8		8		1096		0		1104
3		10		10		1259		0		1269
23		11		11		1435		0		1446
20		12		12		1551		0		1563
22		15		15		1914		0		1929
33		15		15		1944		0		1959
12		16		16		2012		0		2028
14		16		16		2018		0		2034
32		16		16		2057		0		2073
15		17		17		2128		0		2145
42		17		17		2185		0		2202
41		18		18		2283		0		2301
39		20		20		2470		0		2490
30		21		21		2547		0		2568
1		22		22		2582		0		2604
24		23		23		2707		0		2730
34		23		23		2728		0		2751
37		23		23		2737		0		2760
21		24		24		2790		0		2814
44		25		25		2897		0		2922
17		26		26		2935		0		2961
6		27		27		2988		0		3015
13		34		34		3458		0		3492
46		34		34		3497		0		3531
7		35		35		3511		0		3546
18		35		35		3523		0		3558
8		36		36		3570		0		3606
4		42		42		3867		0		3909
9		42		42		3873		0		3915
26		45		45		4014		0		4059
2		46		46		4046		0		4092
29		46		46		4064		0		4110
31		46		46		4067		0		4113
25		49		49		4157		0		4206
28		51		51		4221		0		4272
27		53		53		4273		0		4326
36		53		53		4279		0		4332
45		54		54		4308		0		4362
47		54		54		4311		0		4365
35		55		55		4319		0		4374
40		56		56		4333		0		4389
5		57		57		4338		0		4395
43		58		58		4349		0		4407
11		60		60		4353		0		4413
